기준분기,상권구분,상권지역,서비스업종,분기매출,분기당_매출건수,주중_매출금액,주말_매출금액
4,전통시장,새마을시장,시계및귀금속,34367095,93,5499647,28867448
4,전통시장,대림중앙 골목형상점가,부동산중개업,14110341,470,14110341,0
4,전통시장,공덕시장,시계및귀금속,6509338,183,6234296,275042
4,전통시장,숭인시장,시계및귀금속,84404232,221,4282540,80121692
4,골목상권,먹골역 5번,가구,162156889,417,103815785,58341104
4,전통시장,남구로시장,가구,35712656,135,11845288,23867368
4,전통시장,연서시장,시계및귀금속,38767140,246,30845934,7921206
4,전통시장,영림시장,부동산중개업,712469304,6505,712469304,0
4,전통시장,도곡시장,가구,8397528,54,4424504,3973024
4,전통시장,까치산시장,가전제품,5403251,201,4312266,1090985
4,관광특구,종로?청계 관광특구,시계및귀금속,12515350585,19070,8205789452,4309561133
4,관광특구,종로?청계 관광특구,가전제품,2782015757,18313,2570842356,211173401
4,관광특구,이태원 관광특구,시계및귀금속,543945287,1069,315267355,228677932
4,골목상권,만리재,시계및귀금속,7951615,55,5163139,2788476
4,골목상권,아차산역 1번,가전제품,47227873,472,44368834,2859039
4,골목상권,시흥초등학교(시흥1동우체국),시계및귀금속,25449586,50,25449586,0
4,골목상권,광진정말공원,시계및귀금속,68290861,293,67452164,838697
4,골목상권,개봉1동주민센터,가구,98471220,287,55059178,43412042
4,골목상권,시흥초등학교(시흥1동우체국),가구,39363504,52,21261314,18102190
4,골목상권,푸른들청소년도서관,시계및귀금속,20400150,108,6473354,13926796
4,골목상권,남구로역 5번,가전제품,2882499,82,378842,2503657
4,골목상권,독산동성당,시계및귀금속,8593064,39,3957901,4635163
4,골목상권,서초소방서,가구,276000000,160,107556941,168443059
4,골목상권,영서중학교,시계및귀금속,27858494,97,27858494,0
4,골목상권,방학1동주민센터,가전제품,498362,11,498362,0
4,골목상권,수락산디자인거리,시계및귀금속,5686158,64,5608485,77673
4,골목상권,행당역 2번,시계및귀금속,86286969,142,83262477,3024492
4,골목상권,수락산역 4번,가구,9754678,8,9754678,0
4,골목상권,방학역 1번,가전제품,1917592825,9513,1642630759,274962066
4,골목상권,쌍문역1번(쌍리단길),시계및귀금속,13734463,56,12491525,1242938
4,골목상권,신창초등학교,가구,10340717,51,6363518,3977199
4,골목상권,역촌노인복지관,시계및귀금속,475305,12,475305,0
4,골목상권,길음역 8번,가구,714482,7,714482,0
4,골목상권,수락산역 4번,가전제품,117000000,379,60429891,56570109
4,골목상권,장스여성병원,가전제품,6000000,26,5446372,553628
4,골목상권,종암아이파크2차,시계및귀금속,4167759,70,2622299,1545460
4,골목상권,은평세무서,가구,58572576,218,48931749,9640827
4,골목상권,연신내역 3번,가구,349789750,916,266565922,83223828
4,골목상권,상월곡역 1번,가전제품,196189743,823,80482106,115707637
4,골목상권,시립서북병원,시계및귀금속,7168133,88,1185457,5982676
4,골목상권,남가좌파출소,시계및귀금속,18485102,131,11096319,7388783
4,골목상권,망우역 1번,가전제품,3288416308,8114,2140008155,1148408153
4,골목상권,전농1동주민센터(전농시장),가구,5272727,128,0,5272727
4,골목상권,면목역 3번,시계및귀금속,3705090,7,3705090,0
4,골목상권,신내1동주민센터,가전제품,2815954,35,2815954,0
4,골목상권,상봉역 4번,부동산중개업,6769231,21,6769231,0
4,골목상권,고려대역 4번,가구,873599,43,276995,596604
4,골목상권,영신초등학교,가전제품,224504173,932,224504173,0
4,골목상권,석촌고분역 1번,가구,111554204,55,0,111554204
4,골목상권,동교초등학교,시계및귀금속,8544296,146,4004632,4539664
4,골목상권,양천향교역 5번,가전제품,22276389,143,18102112,4174277
